Phylum,MS_Species_Group,2_30,10_30,2_90,10_90,2_200,10_200,2_200_ref,10_200_ref
Annelida,Errant polychaete,2.5 (0.71),3 (0),22 (34.66),11 (14.8),9 (NA),1 (0),15.67 (17.62),5 (2.83)
Arthropoda,Chorilia longipes,-,-,-,-,1 (NA),-,1 (NA),-
Arthropoda,Crab sp.,-,-,-,1 (NA),-,-,1 (NA),-
Arthropoda,Errant amphipod,-,-,1 (NA),-,7.5 (2.12),1 (NA),5.67 (0.58),44.33 (29.09)
Arthropoda,Glebocarcinus oregonensis,2 (1),2 (1.41),1.5 (0.71),-,-,-,1 (NA),-
Arthropoda,Shrimp sp.,-,-,-,-,-,-,1 (NA),1 (NA)
Echinodermata,Strongylocentrotus sp.,-,-,1 (NA),-,8 (NA),1 (NA),-,-
Mollusca,Amphissa  sp.,-,3.5 (0.71),-,1 (NA),1 (NA),2 (NA),1 (NA),6 (NA)
Mollusca,Mopalia sp.,-,-,-,1 (NA),-,-,-,1 (NA)
Mollusca,Neptunea lyrata,-,-,4 (NA),1 (NA),-,-,-,-
Mollusca,Trichotropis  cancellata,-,-,8.33 (9.45),-,8 (NA),1 (NA),1.5 (0.71),-
